chinese,thai_meaning,category,hsk_level
以下,"ต่อไปนี้, ข้างล่างนี้",,hsk2
以外,"นอกเหนือจาก, นอกจากนี้",,hsk2
休假,"วันหยุด, การลาพักผ่อน",,hsk2
但,"แต่, ทว่า",,hsk2
低,"ต่ำ, ต่ำกว่า",,hsk2
住房,"ที่อยู่อาศัย, บ้าน",,hsk2
体育场,สนามกีฬา,,hsk2
作文,"เรียงความ, การเขียน",,hsk2
作用,"บทบาท, หน้าที่, ผล",,hsk2
使用,"ใช้, การใช้งาน",,hsk2
例子,ตัวอย่าง,,hsk2
信,"จดหมาย, ข้อความ",,hsk2
信心,"ความมั่นใจ, ความเชื่อมั่น",,hsk2
倒,"ล้ม, คว่ำ, กลับด้าน ; ถึง, จนกระทั่ง",,hsk2
借,ยืม,,hsk2
做到,"ทำให้สำเร็จ, ทำได้",,hsk2
做法,"วิธีการ, แนวทางปฏิบัติ",,hsk2
做饭,ทำอาหาร,,hsk2
停,"หยุด, จอด",,hsk2
克,กรัม,,hsk2
全,"ทั้งหมด, ทั้งสิ้น",,hsk2
全体,"ทั้งหมด, ทั้งมวล",,hsk2
全国,ทั่วประเทศ,,hsk2
全家,ทั้งครอบครัว,,hsk2
全年,ตลอดทั้งปี,,hsk2
全身,ทั้งตัว,,hsk2
全部,"ทั้งหมด, ทั้งสิ้น",,hsk2
公路,ถนนหลวง,,hsk2
其中,"ในหมู่, ในจำนวนนั้น",,hsk2
养,"เลี้ยงดู, ดูแล, เพาะปลูก",,hsk2
准确,"ถูกต้อง, แม่นยำ",,hsk2
凉,"เย็น, หนาว",,hsk2
出国,ไปต่างประเทศ,,hsk2
出租,"เช่า, ให้เช่า",,hsk2
出院,ออกจากโรงพยาบาล,,hsk2
分开,"แยก, แบ่ง",,hsk2
分数,"คะแนน, ผลการเรียน",,hsk2
刚刚,"เพิ่งจะ, เมื่อสักครู่",,hsk2
刻,"แกะสลัก, สลัก ; ช่วงเวลา (15 นาที)",,hsk2
前年,เมื่อสองปีก่อน,,hsk2
办,"ทำ, จัดการ, ดำเนินการ",,hsk2
动物园,สวนสัตว์,,hsk2
十分,"มาก, อย่างยิ่ง",,hsk2
千克,กิโลกรัม,,hsk2
午睡,การงีบหลับตอนกลางวัน,,hsk2
午餐,อาหารกลางวัน,,hsk2
半夜,"กลางดึก, เที่ยงคืน",,hsk2
单位,"หน่วยงาน, หน่วย",,hsk2
占,"ครอบครอง, กินพื้นที่, คิดเป็น",,hsk2
卡,"บัตร, แคลอรี่",,hsk2
又,"อีกครั้ง, อีกที",,hsk2
友好,"เป็นมิตร, เป็นกันเอง",,hsk2
发,"ส่ง, ออก, แจก",,hsk2
取,"เอาออก, ถอน, เลือก",,hsk2
变,"เปลี่ยน, กลายเป็น",,hsk2
句,ประโยค,,hsk2
只,"เพียง, แค่ ; ตัว (สำหรับสัตว์)",,hsk2
只能,"เพียงแค่, เท่านั้นที่สามารถ",,hsk2
叫作,"เรียกว่า, มีชื่อว่า",,hsk2
可怕,"น่ากลัว, น่าสะพรึงกลัว",,hsk2
同时,"ในขณะเดียวกัน, พร้อมกัน",,hsk2
同样,"เหมือนกัน, เช่นเดียวกัน",,hsk2
名,"อันดับ, ตำแหน่ง ; คำลักษณนาม (สำหรับคน)",,hsk2
名单,"รายชื่อ, บัญชีรายชื่อ",,hsk2
名称,"ชื่อ, ชื่อเรียก",,hsk2
听讲,ฟังบรรยาย,,hsk2
吹,"เป่า, พัด",,hsk2
周,"สัปดาห์, รอบ",,hsk2
咱,เรา (ไม่เป็นทางการ),,hsk2
响,"เสียงดัง, กึกก้อง",,hsk2
喊,"ตะโกน, ร้องเรียก",,hsk2
回国,กลับประเทศ,,hsk2
图片,"รูปภาพ, ภาพประกอบ",,hsk2
地球,โลก,,hsk2
场,"สนาม, ลาน, สถานที่",,hsk2
坏人,"คนร้าย, คนไม่ดี",,hsk2
坏处,"ข้อเสีย, ผลเสีย",,hsk2
外地,"ต่างเมือง, ต่างถิ่น",,hsk2
多久,นานแค่ไหน,,hsk2
多么,"มากแค่ไหน, เพียงใด",,hsk2
多数,"ส่วนใหญ่, ส่วนมาก",,hsk2
夜,"กลางคืน, ค่ำคืน",,hsk2
夜里,ตอนกลางคืน,,hsk2
够,"พอ, เพียงพอ",,hsk2
大人,ผู้ใหญ่,,hsk2
大声,เสียงดัง,,hsk2
大多数,"ส่วนใหญ่, ส่วนมาก",,hsk2
大大,"อย่างมาก, อย่างใหญ่หลวง",,hsk2
大海,ทะเล,,hsk2
大自然,ธรรมชาติ,,hsk2
大量,"จำนวนมาก, ปริมาณมาก",,hsk2
大门,ประตูใหญ่,,hsk2
天上,"บนฟ้า, บนสวรรค์",,hsk2
好久,นาน,,hsk2
好事,"เรื่องดี, สิ่งดีๆ",,hsk2
好人,คนดี,,hsk2
好多,มากมาย,,hsk2
家长,ผู้ปกครอง,,hsk2
对话,บทสนทนา,,hsk2
封,"ซอง, ฉบับ ; ปิด",,hsk2
小声,เสียงเบา,,hsk2
小时候,ตอนเด็ก,,hsk2
小说,นวนิยาย,,hsk2
少年,"เยาวชน, วัยรุ่น",,hsk2
少数,ส่วนน้อย,,hsk2
就要,"กำลังจะ, ใกล้จะ",,hsk2
市,เมือง,,hsk2
市长,"นายกเทศมนตรี, เจ้าเมือง",,hsk2
带,"พา, นำ",,hsk2
带来,"นำมาให้, ก่อให้เกิด",,hsk2
常用,ใช้บ่อย,,hsk2
常见,"พบเห็นได้ทั่วไป, เป็นปกติ",,hsk2
干活儿,ทำงาน,,hsk2
平,"แบน, เรียบ ; เท่ากัน",,hsk2
广场,"จัตุรัส, ลานกว้าง",,hsk2
店,"ร้านค้า, แผง",,hsk2
度,"ระดับ, องศา ; วัด",,hsk2
开机,เปิดเครื่อง,,hsk2
弄,"ทำ, จัดการ",,hsk2
当,"เป็น, ทำหน้าที่เป็น ; ในช่วงเวลา",,hsk2
影片,ภาพยนตร์,,hsk2
往,"ไปทาง, มุ่งหน้า",,hsk2
得,"ได้, สามารถ ; (แสดงผลลัพธ์)",,hsk2
得出,"ได้ผล, บรรลุผล",,hsk2
心中,"ในใจ, ในหัวใจ",,hsk2
心里,"ในใจ, ในความคิด",,hsk2
快点儿,เร็วขึ้นหน่อย,,hsk2
快要,"ใกล้จะ, เกือบจะ",,hsk2
快餐,"อาหารจานด่วน, ฟาสต์ฟู้ด",,hsk2
怎么办,"ทำอย่างไร, จะทำอย่างไรดี",,hsk2
怎样,"อย่างไร, แบบไหน",,hsk2
怕,"กลัว, หวาดกลัว",,hsk2
想到,"คิดถึง, นึกถึง ; นึกออก",,hsk2
想起,"นึกถึง, คิดถึง",,hsk2
懂得,"เข้าใจ, รู้",,hsk2
成,"กลายเป็น, เป็น ; สำเร็จ, เสร็จ",,hsk2
或,"หรือ, หรือว่า",,hsk2
打篮球,เล่นบาสเกตบอล,,hsk2
找出,"หาให้เจอ, ค้นหา",,hsk2
拉,"ดึง, ลาก ; เชิญ",,hsk2
拿到,"ได้รับ, ได้มา",,hsk2
挺,"มาก, ค่อนข้าง ; ถึง, ถึงกับ",,hsk2
挺好,"ดีมาก, ดีทีเดียว",,hsk2
掉,"ตก, หล่น ; เสีย, หาย",,hsk2
排,"แถว, แนว, อันดับ ; จัดแถว, เรียง",,hsk2
接,"รับ, รับเอา ; ต่อ, เชื่อม",,hsk2
接下来,"ต่อไป, ถัดไป",,hsk2
接到,ได้รับ (การรับ),,hsk2
接着,"ต่อ, ถัดไป, แล้วก็",,hsk2
推,ผลัก,,hsk2
提,"ยก, ถือ ; นำมา",,hsk2
提到,"กล่าวถึง, พูดถึง",,hsk2
收,"รับ, เก็บ, รับเอา",,hsk2
收到,ได้รับ (ของ),,hsk2
改,"แก้ไข, ปรับปรุง",,hsk2
放下,"วางลง, ปล่อยวาง",,hsk2
教学,การสอนและการเรียน,,hsk2
教师,"ครู, อาจารย์",,hsk2
斤,ชั่ง (หน่วยน้ำหนักจีน),,hsk2
方便面,บะหมี่กึ่งสำเร็จรูป,,hsk2
方面,"ด้าน, แง่มุม, ส่วน",,hsk2
旅客,นักท่องเที่ยว,,hsk2
日报,หนังสือพิมพ์รายวัน,,hsk2
早就,"นานแล้ว, ตั้งนานแล้ว",,hsk2
早晨,"เช้าตรู่, รุ่งเช้า",,hsk2
早餐,อาหารเช้า,,hsk2
明星,"ดารา, คนดัง",,hsk2
星星,ดาว,,hsk2
晚会,"งานเลี้ยงตอนเย็น, งานฉลองตอนค่ำ",,hsk2
晚安,ราตรีสวัสดิ์,,hsk2
晚报,หนังสือพิมพ์ตอนเย็น,,hsk2
晚餐,"อาหารเย็น, อาหารค่ำ",,hsk2
晴,"แจ่มใส, สดใส",,hsk2
更,"ยิ่ง, กว่า",,hsk2
月份,เดือน,,hsk2
有一点儿,"เล็กน้อย, นิดหน่อย",,hsk2
有人,มีคน,,hsk2
有空儿,"ว่าง, มีเวลาว่าง",,hsk2
服务,บริการ,,hsk2
条,"เส้น, อัน, ชิ้น (ลักษณนาม)",,hsk2
正是,"คือ, พอดี, เป๊ะ",,hsk2
段,"ช่วง, ตอน, ท่อน (ลักษณนาม)",,hsk2
求,"ขอ, ขอร้อง",,hsk2
油,"น้ำมัน, น้ำมันเชื้อเพลิง ; น้ำมัน (สำหรับปรุงอาหาร)",,hsk2
流,"ไหล, หลั่ง ; แพร่กระจาย",,hsk2
海,ทะเล,,hsk2
海边,"ชายทะเล, ริมทะเล",,hsk2
游客,นักท่องเที่ยว,,hsk2
湖,ทะเลสาบ,,hsk2
满,"เต็ม, เต็มไปหมด",,hsk2
灯,"ตะเกียง, ไฟ",,hsk2
点头,พยักหน้า,,hsk2
熟,"คุ้นเคย, ชำนาญ ; สุก, สุกงอม",,hsk2
爬,"ปีน, คลาน",,hsk2
片,"แผ่น, ชิ้น (ลักษณนาม)",,hsk2
猫,แมว,,hsk2
班长,หัวหน้าชั้น,,hsk2
球场,"สนาม, สนามกีฬา",,hsk2
球队,ทีม (กีฬา),,hsk2
球鞋,รองเท้ากีฬา,,hsk2
生,"เกิด, ชีวิต ; นักเรียน, นักศึกษา",,hsk2
画家,"จิตรกร, นักวาดภาพ",,hsk2
留,"อยู่, เหลือ ; เก็บรักษา",,hsk2
留下,"เหลือไว้, ทิ้งไว้",,hsk2
疼,"เจ็บ, ปวด",,hsk2
的话,"ถ้า, หาก (ใช้ในประโยคเงื่อนไข)",,hsk2
直接,"โดยตรง, ตรงๆ",,hsk2
相同,"เหมือนกัน, คล้ายกัน",,hsk2
相机,กล้องถ่ายรูป,,hsk2
省,"มณฑล, จังหวัด ; ประหยัด",,hsk2
眼,ตา,,hsk2
短信,"ข้อความสั้น, เอสเอ็มเอส",,hsk2
碰,"ชน, ปะทะ",,hsk2
碰到,"เจอโดยบังเอิญ, พบโดยบังเอิญ",,hsk2
离,"ห่าง, จาก",,hsk2
科,"วิทยาศาสตร์, สาขา",,hsk2
科学家,นักวิทยาศาสตร์,,hsk2
租,"เช่า, จ้าง",,hsk2
称,"เรียก, ขาน ; ชื่อ, นาม",,hsk2
站住,"หยุดนิ่ง, ยืนนิ่ง",,hsk2
笑话,"เรื่องตลก, มุกตลก",,hsk2
笑话儿,"เรื่องตลก, มุกตลก",,hsk2
笔记,"บันทึก, จด",,hsk2
第一,"ที่หนึ่ง, อันดับแรก",,hsk2
等于,เท่ากับ,,hsk2
等到,"รอจนกระทั่ง, จนกระทั่ง",,hsk2
算,"นับ, คิด, ถือว่า",,hsk2
篇,"หน้า (หนังสือ, เอกสาร)",,hsk2
级,"ระดับ, ชั้น",,hsk2
纸,กระดาษ,,hsk2
练,"ฝึกฝน, ฝึกซ้อม",,hsk2
组,"กลุ่ม, ชุด ; จัดกลุ่ม",,hsk2
组长,หัวหน้ากลุ่ม,,hsk2
网,"ตาข่าย, อินเทอร์เน็ต",,hsk2
老年,ผู้สูงอายุ,,hsk2
老是,"เสมอ, ตลอดเวลา",,hsk2
老朋友,เพื่อนเก่า,,hsk2
考生,"ผู้เข้าสอบ, ผู้สมัครสอบ",,hsk2
脏,สกปรก,,hsk2
船,เรือ,,hsk2
节,"ข้อ, ประเด็น ; เทศกาล, งานฉลอง",,hsk2
花园,สวน,,hsk2
草,หญ้า,,hsk2
药水,ยา (ชนิดน้ำ),,hsk2
药片,ยา (ชนิดเม็ด),,hsk2
蛋,ไข่,,hsk2
街,"ถนน, ตรอก",,hsk2
装,"ใส่, ประกอบ, แต่งตัว",,hsk2
西北,ตะวันตกเฉียงเหนือ,,hsk2
西医,การแพทย์แผนตะวันตก,,hsk2
西南,ตะวันตกเฉียงใต้,,hsk2
见到,"ได้พบ, เจอ",,hsk2
见过,"เคยพบ, เคยเจอ",,hsk2
角,"มุม, เหลี่ยม ; บทบาท",,hsk2
计算机,คอมพิวเตอร์,,hsk2
让,"ให้, ยอมให้ ; ถูก (ใช้ในประโยคถูกกระทำ)",,hsk2
讲话,"พูด, กล่าว",,hsk2
许多,"มากมาย, จำนวนมาก",,hsk2
词,"คำ, ศัพท์",,hsk2
该,"ควรจะ, ต้อง",,hsk2
请求,"คำร้องขอ, การขอร้อง",,hsk2
读音,การออกเสียง,,hsk2
课堂,ห้องเรียน,,hsk2
走开,เดินออกไป,,hsk2
走过,เดินผ่าน,,hsk2
走进,เดินเข้าไป,,hsk2
越,"ยิ่ง, มากขึ้น",,hsk2
越来越,ยิ่ง...ยิ่ง...,,hsk2
路边,ริมถนน,,hsk2
身边,"ข้างๆ, ใกล้ๆ",,hsk2
车辆,ยานพาหนะ,,hsk2
轻,"เบา, นุ่มนวล",,hsk2
辆,คัน (ลักษณนามยานพาหนะ),,hsk2
边,"ข้าง, ริม, ฝั่ง",,hsk2
这时,"ตอนนั้น, ขณะนั้น",,hsk2
这时候,"ตอนนั้น, ขณะนั้น",,hsk2
进入,"เข้าสู่, เข้าไปใน",,hsk2
送到,"ส่งถึง, ส่งไปถึง",,hsk2
送给,"มอบให้, ส่งให้",,hsk2
选,"เลือก, คัดเลือก",,hsk2
通,"ผ่าน, ทะลุ, ทั่ว, เป็น (คำนาม)",,hsk2
遍,"ครั้ง, ครา",,hsk2
道,"ทาง, เส้นทาง, คำพูด, กล่าว, บอก, ประตู, ด่าน",,hsk2
道路,"ถนน, เส้นทาง",,hsk2
那会儿,"ตอนนั้น, สมัยนั้น",,hsk2
那时,"ตอนนั้น, สมัยนั้น",,hsk2
那时候,"ตอนนั้น, สมัยนั้น",,hsk2
那样,"แบบนั้น, อย่างนั้น",,hsk2
里头,"ข้างใน, ด้านใน",,hsk2
重复,"ซ้ำ, ซ้ำอีก",,hsk2
重新,"อีกครั้ง, ใหม่",,hsk2
银行卡,บัตรธนาคาร,,hsk2
闻,"ดม, สูด, ได้กลิ่น",,hsk2
队,"แถว, กลุ่ม, ทีม",,hsk2
队长,"หัวหน้าทีม, กัปตัน",,hsk2
阴,"ด้านมืด, ด้านลบ, ร่มเงา, ทึบ",,hsk2
院,"ลาน, ล้อมรอบ, สวน",,hsk2
院子,"ลาน, สวน",,hsk2
院长,"ผู้อำนวยการ, หัวหน้า",,hsk2
随时,"เมื่อไหร่ก็ได้, ตลอดเวลา",,hsk2
难听,"ฟังไม่เพราะ, หยาบคาย, ไม่น่าฟัง",,hsk2
难题,"ปัญหาที่ยาก, โจทย์ยาก",,hsk2
雪,หิมะ,,hsk2
青少年,"วัยรุ่น, เยาวชน",,hsk2
青年,"หนุ่มสาว, เยาวชน",,hsk2
靠,"พิง, อาศัย, ใกล้, ข้าง, ขึ้นอยู่กับ",,hsk2
面,"ด้าน, หน้า, ใบหน้า, ทิศทาง",,hsk2
面前,"ข้างหน้า, ต่อหน้า",,hsk2
鞋,รองเท้า,,hsk2
音节,พยางค์,,hsk2
题,"หัวข้อ, โจทย์, ปัญหา",,hsk2
食物,อาหาร,,hsk2
饱,อิ่ม,,hsk2
骑车,ขี่จักรยาน,,hsk2
鸟,นก,,hsk2
一方面,ด้านหนึ่ง,,hsk3
上升,"เพิ่มขึ้น, สูงขึ้น",,hsk3
上去,ขึ้นไป,,hsk3
上来,ขึ้นมา,,hsk3
上面,"ข้างบน, ด้านบน",,hsk3
下去,ลงไป,,hsk3
不仅,ไม่เพียงแต่,,hsk3
不光,ไม่เพียงแต่,,hsk3
不安,"ไม่สบายใจ, กังวล",,hsk3
不必,ไม่จำเป็น,,hsk3
不断,"ไม่หยุด, ต่อเนื่อง",,hsk3
不论,"ไม่ว่า, ไม่ว่าจะเป็น",,hsk3
专题,หัวข้อพิเศษ,,hsk3
世界杯,ฟุตบอลโลก,,hsk3
世纪,ศตวรรษ,,hsk3
东部,ภาคตะวันออก,,hsk3
个性,"บุคลิกภาพ, ลักษณะนิสัย",,hsk3
中华民族,ชนชาติจีน,,hsk3
中部,ภาคกลาง,,hsk3
主张,"ยืนยัน, สนับสนุน, ข้อเสนอ",,hsk3
乐,"ความสุข, สนุก, ชอบ",,hsk3
乐观,มองโลกในแง่ดี,,hsk3
乐队,วงดนตรี,,hsk3
乱,"ยุ่งเหยิง, วุ่นวาย, ไม่เป็นระเบียบ",,hsk3
争取,"พยายามให้ได้มา, แข่งขัน",,hsk3
事业,"อาชีพ, การงาน",,hsk3
事件,"เหตุการณ์, เรื่องราว",,hsk3
事实,"ข้อเท็จจริง, ความจริง",,hsk3
事实上,"ตามความเป็นจริง, อันที่จริง",,hsk3
事故,อุบัติเหตุ,,hsk3
交易,"การค้า, ธุรกิจ",,hsk3
交警,ตำรวจจราจร,,hsk3
交费,จ่ายเงิน,,hsk3
亲人,"ญาติสนิท, คนรัก",,hsk3
亲自,"ด้วยตนเอง, ด้วยตัวเอง",,hsk3
人工,"ประดิษฐ์, สร้างขึ้น, การทำงานของมนุษย์",,hsk3
人才,"ผู้มีความสามารถ, บุคลากร",,hsk3
人类,"มนุษยชาติ, มนุษย์",,hsk3
人群,"ฝูงชน, กลุ่มคน",,hsk3
仅,"เพียง, แค่",,hsk3
仅仅,"เพียง, แค่",,hsk3
仍,"ยังคง, ยัง",,hsk3
付,"จ่าย, ชำระ",,hsk3
代,"แทน, ตัวแทน",,hsk3
代表,"เป็นตัวแทน, แทน",,hsk3
代表团,คณะผู้แทน,,hsk3
以来,"ตั้งแต่, นับตั้งแต่",,hsk3
任,"ดำรงตำแหน่ง, รับตำแหน่ง, แต่งตั้ง",,hsk3
会员,สมาชิก,,hsk3
伟大,"ยิ่งใหญ่, เกรียงไกร",,hsk3
传,"ส่ง, ถ่ายทอด, แพร่",,hsk3
传来,"ส่งมา, ได้ยินมา",,hsk3
伤,"บาดเจ็บ, ความเสียหาย",,hsk3
体现,"สะท้อน, แสดงให้เห็น",,hsk3
作品,"ผลงาน, งานเขียน",,hsk3
保,"รักษา, ปกป้อง, รับประกัน",,hsk3
保安,เจ้าหน้าที่รักษาความปลอดภัย,,hsk3
信任,"ความไว้วางใจ, ความเชื่อมั่น",,hsk3
修,"ซ่อมแซม, ปรับปรุง",,hsk3
值,"ค่า, มูลค่า, สมควร",,hsk3
值得,"คุ้มค่า, สมควรได้รับ",,hsk3
做客,"เป็นแขก, ไปเยี่ยมเยียน",,hsk3
停止,"หยุด, ยุติ",,hsk3
充满,"เต็มไปด้วย, เปี่ยมด้วย",,hsk3
先进,"ล้ำหน้า, ก้าวหน้า",,hsk3
光,"แสง, สว่าง",,hsk3
光明,"ความสว่าง, อนาคตที่ดี",,hsk3
全场,ทั้งสนาม,,hsk3
全球,ทั่วโลก,,hsk3
全面,"ครอบคลุม, รอบด้าน",,hsk3
公务员,ข้าราชการ,,hsk3
公布,"ประกาศ, เปิดเผย",,hsk3
公开,"เปิดเผย, สาธารณะ",,hsk3
公民,พลเมือง,,hsk3
共同,"ร่วมกัน, ด้วยกัน",,hsk3
共有,มีร่วมกัน,,hsk3
